question,context,answer,contexts,ground_truth,evolution_type,metadata,episode_done
 What is the role of the Cyber Security Research Group (CSRG) at NTU in safeguarding against cyber threats?,"Our focus

CSRG is committed to advancing the field of cyber security through cutting-edge research and development. We focus on creating innovative and practical solutions to address complex security challenges faced by organisations across the world today.

By staying at the forefront of the latest technological advancements and emerging threats, we provide our clients with tailored solutions that meet their unique needs and requirements.

Our research and development efforts are focused not on only addressing current security challenges but also anticipating future ones. We collaborate with academic institutions, industry partners, and government agencies to share knowledge and provide resources to drive innovation.

Our goal is to provide our clients with the highest level of protection against cyber threats, ensuring their information assets are secure and their operations are uninterrupted. By partnering with CSRG, you can trust that your organisation is in capable hands."," The Cyber Security Research Group (CSRG) at Nottingham Trent University plays a crucial role in safeguarding against cyber threats. They advance the field of cybersecurity through cutting-edge research and development, focusing on creating innovative and practical solutions to address complex security challenges faced by organizations worldwide. Their work is centered around staying updated with the latest technological advancements and emerging threats, providing tailored solutions that cater to each client's unique needs and requirements. Additionally, they collaborate with academic institutions, industry partners, and government agencies to share knowledge and resources, driving innovation in the cybersecurity domain. Ultimately, their aim is to offer their clients the highest level of protection against cyber threats, ensuring their information assets are secure and their operations remain uninterrupted. By partnering with CSRG, organizations can trust that their security is in capable hands.","[""Cyber Security Research Group (CSRG)\n        The cyber security research group (CSRG) is a dynamic team of seasoned professionals dedicated to researching and implementing effective solutions to safeguard against cyber threats.\n\nResearch Excellence Framework (REF) 2021\n\nIn the latest Research Excellence Framework (REF) 2021, 86% of NTU's research impact was assessed to be either world-leading or internationally excellent. The overall quality of each Unit of Assessment NTU submitted to REF in 2021 also saw an improvement from the previous REF in 2014.\n\nFind out more about REF 2021\n\nFind out more about our research\n\nOur facilities\n\nWith over £8 million invested, our computer science students will study in facilities designed to very high specifications with a variety of electronic and communication laboratories.""]","The Cyber Security Research Group (CSRG) at NTU plays a dynamic and dedicated role in researching and implementing effective solutions to protect against cyber threats. As a team of seasoned professionals, they focus on safeguarding information systems from various forms of cyber attacks.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What is the role of the Interdisciplinary Science and Technology Centre (ISTeC) at NTU in supporting research and majors across various fields?,"Computer Science Facilities
        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).

Interdisciplinary Science and Technology Centre (ISTeC)
        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.

Latest news

Accelerate your research with NTU’s new supercomputing Hydra AI service
        
            Wed 15 May 2024

Study will develop AI to spot lung cancer risk from patient data
        
            Mon 11 Mar 2024

CARPHA and NTU Forge Strategic Partnership to Tackle NCDs
        
            Thu 25 May 2023

Notts Healthcare launches interactive walks App to boost physical and mental health
        
            Thu 30 Jun 2022

NTU researcher among the ‘Top 50 Women in Engineering’
        
            Thu 23 Jun 2022"," The Interdisciplinary Science and Technology Centre (ISTeC) at NTU supports research and majors across various fields such as Computer Science, Bioscience, Chemistry, and Sport Science by providing a cutting-edge 13 million facility. This facility enables research and study in these areas through its advanced resources and technology.","['Computer Science Facilities\n        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).\n\nInterdisciplinary Science and Technology Centre (ISTeC)\n        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.\n\nLatest news\n\nAccelerate your research with NTU’s new supercomputing Hydra AI service\n        \n            Wed 15 May 2024\n\nStudy will develop AI to spot lung cancer risk from patient data\n        \n            Mon 11 Mar 2024\n\nCARPHA and NTU Forge Strategic Partnership to Tackle NCDs\n        \n            Thu 25 May 2023\n\nNotts Healthcare launches interactive walks App to boost physical and mental health\n        \n            Thu 30 Jun 2022\n\nNTU researcher among the ‘Top 50 Women in Engineering’\n        \n            Thu 23 Jun 2022']","The Interdisciplinary Science and Technology Centre (ISTeC) at NTU plays a significant role in supporting research and majors across various fields, including Computer Science, Bioscience, Chemistry, and Sport Science. It is a cutting-edge facility with an investment of 13 million, providing resources for interdisciplinary studies and advancements.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
" What is the significance of computer science in supporting modern life and meeting employers' skill requirements, as demonstrated by NTU's approach to education?","Careers in Computer Science

The industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.

Our recent graduates have secured roles at companies including:

Next Retail Ltd

Boots UK

Cisco Systems

Schlumberger

Experian

BT

Rockstar Games

Worldwide Clinical Trials UK Ltd

American Express

UK Government

They have gone into a wide variety of job roles including:

Business Analyst

Programmer

Project Software Implementation Officer

Web Developer

Games Tester

Graduate Game Development and Programmer

Software Engineer

Cyber Security Analyst

Product Consultant

Explore Computer Science

Find out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student."," At Nottingham Trent University (NTU), the significance of computer science in supporting modern life and meeting employers' skill requirements is evident in the university's approach to education. By focusing on industry-relevant skills and practical experience, NTU equips its Computer Science graduates with the necessary skills to excel in various sectors such as retail, healthcare, technology, and government. This approach ensures that students are well-prepared for the dynamic and ever-evolving demands of the digital world.  In today's interconnected society, computer science plays a crucial role in facilitating advancements across numerous industries. From developing innovative software solutions to enhancing cybersecurity measures, computer scientists contribute significantly to modern life. Employers seek candidates with strong technical knowledge, problem-solving abilities, and adaptability to new technologies. NTU's emphasis on hands-on learning experiences and real-world application helps students develop these essential skills, making them highly desirable in the job market.  By collaborating with leading companies like Next Retail Ltd, Boots UK, Cisco Systems, Schlumberger, Experian, BT, Rockstar Games, Worldwide Clinical Trials UK Ltd, American Express, and the UK Government, NTU ensures that its curriculum remains current and relevant to industry needs. Graduates from NTU's Computer Science program have successfully secured positions in various roles, including business analyst, programmer, project software implementation officer, web developer, games tester, graduate game development and programmer, software engineer, cybersecurity analyst, product consultant, and more. These diverse career paths demonstrate the versatility and importance of computer science in supporting modern life and meeting employers' skill requirements.","['Computer Science Facilities\n        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).\n\nInterdisciplinary Science and Technology Centre (ISTeC)\n        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.\n\nLatest news\n\nAccelerate your research with NTU’s new supercomputing Hydra AI service\n        \n            Wed 15 May 2024\n\nStudy will develop AI to spot lung cancer risk from patient data\n        \n            Mon 11 Mar 2024\n\nCARPHA and NTU Forge Strategic Partnership to Tackle NCDs\n        \n            Thu 25 May 2023\n\nNotts Healthcare launches interactive walks App to boost physical and mental health\n        \n            Thu 30 Jun 2022\n\nNTU researcher among the ‘Top 50 Women in Engineering’\n        \n            Thu 23 Jun 2022', 'Home\n\nCourses\n\nComputer Science\n\nComputer Science\n\nAs the digital economy continues to grow, and new and increasingly powerful technologies emerge, computer science underpins more and more of modern life. At NTU, we’ll use industry projects and collaborative research to help you develop the skills and experience that employers are looking for.\n\nFind your course\n\nOpen days are the perfect way to see what makes life and learning at NTU so special.\n\nBook an open day\n\nUndergraduate courses\n\nArtificial Intelligence\n\n\n\n    - MSc\n\nCloud and Enterprise Computing\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MComp (Hons)\n\nComputer Science\n\n\n\n    - BSc (Hons)\n\nComputer Science (Games Technology)\n\n\n\n    - BSc (Hons)\n\nComputer Science (with foundation year)\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence (with foundation year)\n\n\n\n    - BSc (Hons)']","Computer Science plays a crucial role in supporting modern life and meeting employers' skill requirements. At NTU, this is reflected through the use of industry projects and collaborative research that help students develop relevant skills and experience sought by employers.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}, {'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
 What is the significance of Nottingham Trent University receiving the first-ever Turing Network Development Awards among universities?,"NTU among universities to receive first-ever Turing Network Development Awards
        
            Wed 02 Feb 2022

View all news

Our events

23
                May
            
        
        
        
            Open Dome VIRTUAL - Crackle and Pop - Northern Lights Everywhere
            
                LT4, 
                
                Nottingham Trent University, 
                Clifton Campus, 
                Clifton,

23
                May
            
        
        
        
            Level 6 Digital Technology Solutions Professional and Level 6 Data Scientist Apprenticeships Online Briefing - 23 May 2024
            
                
                MS Teams Online Session,"," The Turing Network Development Awards are a recognition for excellence in research and innovation in the field of computer science and artificial intelligence. Receiving the first-ever Turing Network Development Awards signifies that Nottingham Trent University has demonstrated exceptional work in these areas, setting a high standard for other universities to follow. This award can boost the university's reputation, attract more students interested in these fields, and potentially lead to increased funding opportunities for further research and development projects.","['NTU among universities to receive first-ever Turing Network Development Awards\n        \n            Wed 02 Feb 2022\n\nView all news\n\nOur events\n\n31\n                May\n            \n        \n        \n        \n            Sport Engineering Seminar Day 2024\n            \n                \n                \n                NTU Clifton Campus, \n                Teaching and Learning Building, \n                Clifton Lane, \n                Clifton, \n                Nottinghamshire, \n                \n                NG11 8NS\n\n18\n                Jun\n            \n        \n        \n        \n            Physical Activity and the Endocrine system 2024', '24\n                Jul\n            \n        \n        \n        \n            Joint NTU Department of Engineering and IEEE Nanotechnology Chapter (UK & Ireland) distinguished lecture\n            \n                Lecture Theatre 3, \n                \n                Teaching and Learning Building, \n                Clifton Campus, \n                \n                \n                \n                \n                NG11 8NS\n\n28\n                Aug\n            \n        \n        \n        \n            3rd International Conference of Quantum & Nonlinear Nanophotonics (ICQNN)\n            \n                \n                \n                Nottingham Trent University, Clifton Campus, \n                \n                \n                \n                Nottinghamshire, \n                United Kingdom, \n                NG11 8NS\n\nView all events\n\nBCS – The Chartered Institute for IT\n\nFollow us\n\nConnect through x\n\nConnect through facebook\n\nAlso in\n\nAcademic Schools']","The context provided does not explicitly state the significance of Nottingham Trent University (NTU) receiving the first-ever Turing Network Development Awards among universities. However, it can be inferred that this recognition is a notable achievement for NTU as it highlights their leadership and innovation in network development within the field.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}, {'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What is the significance of NTU's Department of Computer Science courses being accredited towards Chartered Engineer (CEng) status by the Engineering Council?,"Home

Study

Academic Schools

Science and Technology

Department of Computer Science

Department of Computer Science

Welcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.

Our undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development."," The accreditation of NTU's Department of Computer Science courses towards Chartered Engineer (CEng) status by the Engineering Council signifies that these programs meet the academic and professional standards required for engineering professionals. This accreditation is recognized globally and can enhance a student's employability as it demonstrates that they have received a high-quality education in computer science, preparing them for careers in various engineering sectors. Additionally, achieving CEng status can open doors to leadership roles within the industry.","['Home\n\nStudy\n\nAcademic Schools\n\nScience and Technology\n\nDepartment of Computer Science\n\nDepartment of Computer Science\n\nWelcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nOur undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development.']","The significance of NTU's Department of Computer Science courses being accredited towards Chartered Engineer (CEng) status by the Engineering Council lies in its validation of the quality and relevance of the education provided. This accreditation ensures that graduates are equipped with industry-relevant skills, theoretical knowledge, and practical experience necessary to excel as professionals in their field. It also enhances employability prospects for students, as CEng status is recognized by employers globally.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
" What is the significance of studying Artificial Intelligence within the Department of Computer Science at NTU, considering its relevance in the digital economy?","Home

Courses

Computer Science

Computer Science

As the digital economy continues to grow, and new and increasingly powerful technologies emerge, computer science underpins more and more of modern life. At NTU, we’ll use industry projects and collaborative research to help you develop the skills and experience that employers are looking for.

Find your course

Open days are the perfect way to see what makes life and learning at NTU so special.

Book an open day

Undergraduate courses

Artificial Intelligence



    - MSc

Cloud and Enterprise Computing



    - MSc

Computer Science



    - MSc

Computer Science



    - MComp (Hons)

Computer Science



    - BSc (Hons)

Computer Science (Games Technology)



    - BSc (Hons)

Computer Science (with foundation year)



    - BSc (Hons)

Computer Science - Artificial Intelligence



    - BSc (Hons)

Computer Science - Artificial Intelligence (with foundation year)



    - BSc (Hons)"," Studying Artificial Intelligence (AI) within the Department of Computer Science at NTU is significant due to its relevance in the rapidly growing digital economy. AI is a crucial component of many modern technologies, from self-driving cars to personalized recommendations on streaming platforms. By studying AI at NTU, you'll gain the skills and knowledge needed to contribute to this exciting field, making you attractive to potential employers in various industries. Additionally, NTU's focus on industry projects and collaborative research ensures that you'll learn practical, real-world skills that are highly valued by employers.","['Home\n\nCourses\n\nComputer Science\n\nComputer Science\n\nAs the digital economy continues to grow, and new and increasingly powerful technologies emerge, computer science underpins more and more of modern life. At NTU, we’ll use industry projects and collaborative research to help you develop the skills and experience that employers are looking for.\n\nFind your course\n\nOpen days are the perfect way to see what makes life and learning at NTU so special.\n\nBook an open day\n\nUndergraduate courses\n\nArtificial Intelligence\n\n\n\n    - MSc\n\nCloud and Enterprise Computing\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MComp (Hons)\n\nComputer Science\n\n\n\n    - BSc (Hons)\n\nComputer Science (Games Technology)\n\n\n\n    - BSc (Hons)\n\nComputer Science (with foundation year)\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence (with foundation year)\n\n\n\n    - BSc (Hons)']","Studying Artificial Intelligence within the Department of Computer Science at NTU is significant because it underpins more and more of modern life as the digital economy continues to grow. The field of AI, with its capabilities in learning, reasoning, perception, and reacting like humans, plays a crucial role in various industries. By offering courses such as BSc (Hons) Computer Science - Artificial Intelligence and MComp (Hons) Computer Science, NTU prepares students to develop the skills and experience that employers are looking for, making them valuable assets in the digital economy.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
 What is the significance of the British Computing Society's accreditation for undergraduate degrees at NTU's Department of Computer Science?,"Home

Study

Academic Schools

Science and Technology

Department of Computer Science

Department of Computer Science

Welcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.

Our undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development."," The British Computing Society's (BCS) accreditation for undergraduate degrees at NTU's Department of Computer Science signifies that the program meets the high standards set by the BCS. This accreditation ensures that the curriculum is up-to-date, industry-relevant, and prepares students for professional careers in computing. Additionally, the accreditation can lead to Chartered IT Professional (CITP) status for students upon graduation, and can also contribute towards achieving Chartered Engineer (CEng) status with the Engineering Council.","['Home\n\nStudy\n\nAcademic Schools\n\nScience and Technology\n\nDepartment of Computer Science\n\nDepartment of Computer Science\n\nWelcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nOur undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development.']","The British Computing Society (BCS) has accredited all of NTU's undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. This signifies that the department meets high standards in both research and teaching excellence, ensuring that students receive a quality education that is recognized by professional bodies.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What is the significance of the British Computing Society's accreditation in relation to the undergraduate degrees offered by the Department of Computer Science at NTU?,"Home

Study

Academic Schools

Science and Technology

Department of Computer Science

Department of Computer Science

Welcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.

Our undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development."," The British Computing Society's (BCS) accreditation signifies that the undergraduate degrees offered by the Department of Computer Science at NTU meet the high standards set by the BCS. This accreditation is significant as it indicates that the courses are of a high quality and are relevant to the computing industry. It also means that graduates from these programs are eligible to apply for Chartered IT Professional (CITP) status, and can work towards achieving Chartered Engineer (CEng) status with the Engineering Council.","['Home\n\nStudy\n\nAcademic Schools\n\nScience and Technology\n\nDepartment of Computer Science\n\nDepartment of Computer Science\n\nWelcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nOur undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development.']","The British Computing Society (BCS) has accredited all of the undergraduate degrees offered by the Department of Computer Science at NTU to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. This accreditation signifies that the department's programs meet high standards in terms of curriculum content, teaching quality, and industry relevance, providing students with a recognized qualification that is valued by employers.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What is the size of the Computer Science facilities at NTU's Interdisciplinary Science and Technology Centre (ISTeC)?,"Computer Science Facilities
        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).

Interdisciplinary Science and Technology Centre (ISTeC)
        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.

Latest news

Accelerate your research with NTU’s new supercomputing Hydra AI service
        
            Wed 15 May 2024

Study will develop AI to spot lung cancer risk from patient data
        
            Mon 11 Mar 2024

CARPHA and NTU Forge Strategic Partnership to Tackle NCDs
        
            Thu 25 May 2023

Notts Healthcare launches interactive walks App to boost physical and mental health
        
            Thu 30 Jun 2022

NTU researcher among the ‘Top 50 Women in Engineering’
        
            Thu 23 Jun 2022", The size of the Computer Science facilities at NTU's Interdisciplinary Science and Technology Centre (ISTeC) is 13 million pounds.,"['Computer Science Facilities\n        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).\n\nInterdisciplinary Science and Technology Centre (ISTeC)\n        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.\n\nLatest news\n\nAccelerate your research with NTU’s new supercomputing Hydra AI service\n        \n            Wed 15 May 2024\n\nStudy will develop AI to spot lung cancer risk from patient data\n        \n            Mon 11 Mar 2024\n\nCARPHA and NTU Forge Strategic Partnership to Tackle NCDs\n        \n            Thu 25 May 2023\n\nNotts Healthcare launches interactive walks App to boost physical and mental health\n        \n            Thu 30 Jun 2022\n\nNTU researcher among the ‘Top 50 Women in Engineering’\n        \n            Thu 23 Jun 2022']","The ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in various fields including Computer Science.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What opportunities and career paths are available for graduates with a BSc (Hons) in Computer Science at NTU?,"Careers in Computer Science

The industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.

Our recent graduates have secured roles at companies including:

Next Retail Ltd

Boots UK

Cisco Systems

Schlumberger

Experian

BT

Rockstar Games

Worldwide Clinical Trials UK Ltd

American Express

UK Government

They have gone into a wide variety of job roles including:

Business Analyst

Programmer

Project Software Implementation Officer

Web Developer

Games Tester

Graduate Game Development and Programmer

Software Engineer

Cyber Security Analyst

Product Consultant

Explore Computer Science

Find out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student."," As a graduate with a BSc (Hons) in Computer Science from Nottingham Trent University (NTU), you would have numerous opportunities and career paths available to you. Some examples include:  1. Business Analyst: Analyzing business needs and determining solutions involving the use of technology. 2. Programmer: Writing code and developing software applications. 3. Project Software Implementation Officer: Overseeing the implementation of new software systems within organizations. 4. Web Developer: Designing, creating, and maintaining websites. 5. Games Tester: Testing video games for bugs and ensuring they run smoothly. 6. Graduate Game Development and Programmer: Working on the development of video games. 7. Software Engineer: Designing, building, and maintaining software systems. 8. Cyber Security Analyst: Protecting computer systems and networks from cyber threats. 9. Product Consultant: Advising clients on the best products to meet their needs.  In addition to these roles, many other opportunities may be available depending on your interests and skills. NTU graduates have secured roles at companies such as Next Retail Ltd, Boots UK, Cisco Systems, Schlumberger, Experian, BT, Rockstar Games, Worldwide Clinical Trials UK Ltd, American Express, and the UK Government, among others.","[""- BSc (Hons)\n\nAbout Computer Science\n\nFrom artificial intelligence to game technology, our courses span the whole spectrum of computer science.\n\nYou’ll study in state-of-the-art facilities at our Clifton Campus, which includes a robot arena, games consoles, networking and security, and human-interactive technology labs. It’s a self-contained campus with all the mod cons and equipment you might need.\n\nYou can count on the support of industry veterans from across the sector – from Fujitsu Systems to the US Department of Homeland Security. You can apply your learning to work placements, live industry briefs and research projects, as you gain real-world experience and enhance your career prospects in computing.\n\nLearn more about Computer Science at NTU\n\nDiscover the inspiring story behind Hannah's decision to pursue Computer Science at NTU. Look through other videos for an insightful tour of our facilities and get a glimpse into the enriching academic journey that awaits you."", ""Careers in Computer Science\n\nThe industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.\n\nOur recent graduates have secured roles at companies including:\n\nNext Retail Ltd\n\nBoots UK\n\nCisco Systems\n\nSchlumberger\n\nExperian\n\nBT\n\nRockstar Games\n\nWorldwide Clinical Trials UK Ltd\n\nAmerican Express\n\nUK Government\n\nThey have gone into a wide variety of job roles including:\n\nBusiness Analyst\n\nProgrammer\n\nProject Software Implementation Officer\n\nWeb Developer\n\nGames Tester\n\nGraduate Game Development and Programmer\n\nSoftware Engineer\n\nCyber Security Analyst\n\nProduct Consultant\n\nExplore Computer Science\n\nFind out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.""]","Graduates with a BSc (Hons) in Computer Science at NTU have access to various job roles including Business Analyst, Programmer, Project Software Implementation Officer, Web Developer, Games Tester, Graduate Game Development and Programmer, Software Engineer, Cyber Security Analyst, and Product Consultant. They can also find opportunities in companies such as Next Retail Ltd, Boots UK, Cisco Systems, Schlumberger, Experian, BT, Rockstar Games, Worldwide Clinical Trials UK Ltd, American Express, and the UK Government.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}, {'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
