question,contexts,ground_truth,evolution_type,metadata,episode_done
What role do industry support and work placements play in enhancing career prospects for students studying Computer Science at NTU?,"[""- BSc (Hons)\n\nAbout Computer Science\n\nFrom artificial intelligence to game technology, our courses span the whole spectrum of computer science.\n\nYou’ll study in state-of-the-art facilities at our Clifton Campus, which includes a robot arena, games consoles, networking and security, and human-interactive technology labs. It’s a self-contained campus with all the mod cons and equipment you might need.\n\nYou can count on the support of industry veterans from across the sector – from Fujitsu Systems to the US Department of Homeland Security. You can apply your learning to work placements, live industry briefs and research projects, as you gain real-world experience and enhance your career prospects in computing.\n\nLearn more about Computer Science at NTU\n\nDiscover the inspiring story behind Hannah's decision to pursue Computer Science at NTU. Look through other videos for an insightful tour of our facilities and get a glimpse into the enriching academic journey that awaits you.""]","Industry support and work placements play a significant role in enhancing career prospects for students studying Computer Science at NTU. They provide real-world experience, allowing students to apply their learning directly within the industry context. This exposure helps them gain practical skills, understand current industry trends, network with professionals, and potentially secure job opportunities post-graduation.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
"What is the significance of undergraduate courses in ach Written as a letter, address it to ""Dear Student,"" and ensure that your question reflects the importance of these programs at NTU's Department of Computer Science.


Dear Student,


I hope this message finds you well and excited about embarking on an educational journey with us at the Department of Computer Science at National University of Technology (NTU). As a prospective student considering our undergraduate courses, I would like to highlight their significance in shaping your future career.


Question: ""How do NTU's accredited undergraduate computer science programs prepare you for success and industry relevance in the field of technology?","['Home\n\nStudy\n\nAcademic Schools\n\nScience and Technology\n\nDepartment of Computer Science\n\nDepartment of Computer Science\n\nWelcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nOur undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development.']","NTU's accredited undergraduate computer science programs are designed to be industrially relevant, providing a balanced mix of theory and practical experience. The British Computing Society (BCS) has accredited all our degrees for Chartered IT Professional (CITP) status and towards Chartered Engineer (CEng) status with the Engineering Council. This recognition ensures that our programs meet high industry standards, equipping students with the necessary skills to excel in their careers and remain competitive in the rapidly evolving field of technology.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
What are some of the key organizations that provide research funding for the department's activities?,"['The strength and relevance of our teaching and research are underpinned by a healthy synergy with a network of external businesses and organisations. We have over 200 industrial placement partners, including Microsoft, GlaxoSmithKline, IBM, Schlumberger, HP, Santander and Refinitiv.\n\nResearch activity within the department is wide-ranging and collaborations and funding for research have been gained from a variety of sources including Innovate UK, the EPSRC, the US Department of Homeland Security and the EU. Our research is internationally recognised, particularly in the areas of serious games, computational intelligence and security.\n\nMeet the team']","Some of the key organizations providing research funding for the department's activities include Innovate UK, the EPSRC (Engineering and Physical Sciences Research Council), the US Department of Homeland Security, and the EU (European Union).",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
What is the significance of NTU being awarded the first-ever Turing Network Development Awards among universities?,"['NTU among universities to receive first-ever Turing Network Development Awards\n        \n            Wed 02 Feb 2022\n\nView all news\n\nOur events\n\n23\n                May\n            \n        \n        \n        \n            Open Dome VIRTUAL - Crackle and Pop - Northern Lights Everywhere\n            \n                LT4, \n                \n                Nottingham Trent University, \n                Clifton Campus, \n                Clifton,\n\n23\n                May\n            \n        \n        \n        \n            Level 6 Digital Technology Solutions Professional and Level 6 Data Scientist Apprenticeships Online Briefing - 23 May 2024\n            \n                \n                MS Teams Online Session,']","The context provided does not explicitly state the significance of NTU receiving the first-ever Turing Network Development Awards. However, it can be inferred that this award marks a notable achievement for Nottingham Trent University in the field of digital technology and data science.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
"What is the significance of NTU's Department of Computer Science having undergraduate degrees accredited by the British Computing Society as Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council?","['Home\n\nStudy\n\nAcademic Schools\n\nScience and Technology\n\nDepartment of Computer Science\n\nDepartment of Computer Science\n\nWelcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nOur undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development.']","NTU's Department of Computer Science having its undergraduate degrees accredited by the British Computing Society as Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council signifies that their programs meet high standards in computing education. This accreditation ensures that graduates are recognized for their expertise and commitment to professional development within the field of computer science. It also indicates that NTU's curriculum is aligned with industry needs, providing students with relevant knowledge and skills that will be valuable in their future careers.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
Which CIA team concentrates on practical rehab?,"['Centre for Computer Science and Informatics (CIRC)\n        Harnessing enabling technologies ranging from machine learning, AI, and advanced display technologies, to intelligent sensors and robotics to drive advances for individuals and society.\n\nResearch groups\n\nInteractive Systems Research Group (ISRG)\n        The Interactive Systems Research Group focuses on the development of new technologies for the cognitive and physical rehabilitation of users within the real world.\n\nComputational Intelligence and Applications Research Group (CIA)\n        This research group brings together academics researching in the areas of computational intelligence applications.\n\nCognitive Computing and Brain Informatics Research Group (CCBI) \n        This research group is centred around brain research, mainly brain computer interfacing (BCI) including EEG hyper scanning, and body sensor networking (BCI).']",nan,reasoning,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
"Where is NTU's ""Crackle & Pop"" event held, showcasing auroras and related natural light displays?

Output: Where's the NTU aurora exhibit?","['23\n                May\n            \n        \n        \n        \n            Open Dome IN PERSON - Crackle and Pop - Northern Lights Everywhere\n            \n                LT 4, \n                \n                Nottingham Trent University, \n                Clifton Campus, \n                Clifton, \n                Nottingham, \n                \n                United Kingdom,\n\n31\n                May\n            \n        \n        \n        \n            Sport Engineering Seminar Day 2024\n            \n                \n                \n                NTU Clifton Campus, \n                Teaching and Learning Building, \n                Clifton Lane, \n                Clifton, \n                Nottinghamshire, \n                \n                NG11 8NS\n\n18\n                Jun\n            \n        \n        \n        \n            Physical Activity and the Endocrine system 2024']",nan,reasoning,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
"Which REF year saw notable contributions from NTU's Cyber Security Group, aligning with CS Dept.'s focus on top-tier facilities and teaching? (Hint: Ref 2021)

(Note: The hint ""Ref 2021"" is provided to guide the reader towards REF 2021 without explicitly stating it in the rewritten question.)","[""Cyber Security Research Group (CSRG)\n        The cyber security research group (CSRG) is a dynamic team of seasoned professionals dedicated to researching and implementing effective solutions to safeguard against cyber threats.\n\nResearch Excellence Framework (REF) 2021\n\nIn the latest Research Excellence Framework (REF) 2021, 86% of NTU's research impact was assessed to be either world-leading or internationally excellent. The overall quality of each Unit of Assessment NTU submitted to REF in 2021 also saw an improvement from the previous REF in 2014.\n\nFind out more about REF 2021\n\nFind out more about our research\n\nOur facilities\n\nWith over £8 million invested, our computer science students will study in facilities designed to very high specifications with a variety of electronic and communication laboratories.""]","The notable contributions from NTU's Cyber Security Group aligning with CS Dept.'s focus on top-tier facilities and teaching were recognized in the Research Excellence Framework (REF) 2021, where 86% of research impact was assessed to be either world-leading or internationally excellent.",multi_context,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
"Which department at Nottingham Trent Uni teaches immune system courses for healthier aging?


This revised question is more indirect by focusing on the subject (immune system) and its relevance to a specific outcome (healthy aging), while also being shorter. It avoids mentioning the Leadership Team structure, which was not necessary for understanding the core inquiry.","['19\n                Jun\n            \n        \n        \n        \n            Secrets of Healthy Ageing - Boost Your Immune System\n            \n                \n                \n                Nottingham Trent University, \n                Room 005 - Dryden Building, \n                \n                Nottingham, \n                \n                \n                NG1 4FZ\n\nView all events\n\nBCS – The Chartered Institute for IT\n\nFollow us\n\nConnect through x\n\nConnect through facebook\n\nAlso in\n\nAcademic Schools\n\nAnimal, Rural and Environmental Sciences\n\nArchitecture, Design and the Built Environment\n\nNottingham School of Art & Design\n\nArts and Humanities\n\nNottingham Business School\n\nNottingham Law School\n\nScience and Technology\n\nDepartment of Biosciences\n\nDepartment of Chemistry\n\nDepartment of Computer Science\n\nDepartment of Engineering\n\nDepartment of Forensic Science\n\nDepartment of Mathematics\n\nDepartment of Physics\n\nDepartment of Sport Science\n\nLeadership Team - Science and Technology']",nan,multi_context,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
"How do NTU CS grads typically find jobs, and what role does industry ties play in this?","[""Careers in Computer Science\n\nThe industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.\n\nOur recent graduates have secured roles at companies including:\n\nNext Retail Ltd\n\nBoots UK\n\nCisco Systems\n\nSchlumberger\n\nExperian\n\nBT\n\nRockstar Games\n\nWorldwide Clinical Trials UK Ltd\n\nAmerican Express\n\nUK Government\n\nThey have gone into a wide variety of job roles including:\n\nBusiness Analyst\n\nProgrammer\n\nProject Software Implementation Officer\n\nWeb Developer\n\nGames Tester\n\nGraduate Game Development and Programmer\n\nSoftware Engineer\n\nCyber Security Analyst\n\nProduct Consultant\n\nExplore Computer Science\n\nFind out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.""]","NTU CS graduates typically find jobs through a combination of their strong academic foundation, practical experience gained during their courses, and the industry-focused nature of our teaching. The industry ties are significant as they provide students with direct exposure to real-world applications and opportunities for networking, which can be instrumental in securing employment after graduation.",multi_context,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
"Which REF year saw notable contributions from NTU's Cyber Security Group, aligning with CS Dept.'s focus on top-tier facilities and teaching? (Hint: Ref 2021)

(Note: The hint ""Ref 2021"" is provided to guide the reader towards REF 2021 without explicitly stating it in the rewritten question.)","[""Cyber Security Research Group (CSRG)\n        The cyber security research group (CSRG) is a dynamic team of seasoned professionals dedicated to researching and implementing effective solutions to safeguard against cyber threats.\n\nResearch Excellence Framework (REF) 2021\n\nIn the latest Research Excellence Framework (REF) 2021, 86% of NTU's research impact was assessed to be either world-leading or internationally excellent. The overall quality of each Unit of Assessment NTU submitted to REF in 2021 also saw an improvement from the previous REF in 2014.\n\nFind out more about REF 2021\n\nFind out more about our research\n\nOur facilities\n\nWith over £8 million invested, our computer science students will study in facilities designed to very high specifications with a variety of electronic and communication laboratories.""]","The notable contributions from NTU's Cyber Security Group aligning with CS Dept.'s focus on top-tier facilities and teaching were recognized in the Research Excellence Framework (REF) 2021, where 86% of research impact was assessed to be either world-leading or internationally excellent.",multi_context,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
