question,contexts,ground_truth,evolution_type,metadata,episode_done
 What facilities and equipment are available at the NTU's Clifton Campus for students studying Computer Science?,"[""- BSc (Hons)\n\nAbout Computer Science\n\nFrom artificial intelligence to game technology, our courses span the whole spectrum of computer science.\n\nYou’ll study in state-of-the-art facilities at our Clifton Campus, which includes a robot arena, games consoles, networking and security, and human-interactive technology labs. It’s a self-contained campus with all the mod cons and equipment you might need.\n\nYou can count on the support of industry veterans from across the sector – from Fujitsu Systems to the US Department of Homeland Security. You can apply your learning to work placements, live industry briefs and research projects, as you gain real-world experience and enhance your career prospects in computing.\n\nLearn more about Computer Science at NTU\n\nDiscover the inspiring story behind Hannah's decision to pursue Computer Science at NTU. Look through other videos for an insightful tour of our facilities and get a glimpse into the enriching academic journey that awaits you.""]","At NTU's Clifton Campus, students studying Computer Science have access to state-of-the-art facilities including a robot arena, games consoles, networking and security labs, as well as human-interactive technology labs. The campus is self-contained with all the necessary mod cons and equipment.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
 What is the location of NTU's Computer Science facilities?,['Department of Computer Science\n        Welcome to the Computer Science Department at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nComputer Science facilities\n        Explore our our Computer Science facilities at our Clifton Campus. You can take a look at the outstanding lab facilities in our ISTeC building.\n\nTake a virtual tour\n        The NTU virtual tour is a great way to get to know our University from the comfort of your own home.\n\nSupporting your success\n        What makes life and learning at NTU so special? Discover just a few of the benefits and free services designed to enhance your student experience.\n\nSearch for a specific course\n\nOrder a prospectus\n\nBook an open day\n\nLearn about life in Nottingham\n\nChat to students or staff\n\nAlso in'],"NTU's Computer Science facilities are located at their Clifton Campus, where you can explore the outstanding lab facilities in our ISTeC building.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
 What is the size of the Computer Science facilities at NTU's Interdisciplinary Science and Technology Centre (ISTeC)?,"['Computer Science Facilities\n        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).\n\nInterdisciplinary Science and Technology Centre (ISTeC)\n        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.\n\nLatest news\n\nAccelerate your research with NTU’s new supercomputing Hydra AI service\n        \n            Wed 15 May 2024\n\nStudy will develop AI to spot lung cancer risk from patient data\n        \n            Mon 11 Mar 2024\n\nCARPHA and NTU Forge Strategic Partnership to Tackle NCDs\n        \n            Thu 25 May 2023\n\nNotts Healthcare launches interactive walks App to boost physical and mental health\n        \n            Thu 30 Jun 2022\n\nNTU researcher among the ‘Top 50 Women in Engineering’\n        \n            Thu 23 Jun 2022']","The ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in various fields including Computer Science.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",TRUE
 What features and resources are available at the Clifton Campus for students studying Computer Science?,"[""- BSc (Hons)\n\nAbout Computer Science\n\nFrom artificial intelligence to game technology, our courses span the whole spectrum of computer science.\n\nYou’ll study in state-of-the-art facilities at our Clifton Campus, which includes a robot arena, games consoles, networking and security, and human-interactive technology labs. It’s a self-contained campus with all the mod cons and equipment you might need.\n\nYou can count on the support of industry veterans from across the sector – from Fujitsu Systems to the US Department of Homeland Security. You can apply your learning to work placements, live industry briefs and research projects, as you gain real-world experience and enhance your career prospects in computing.\n\nLearn more about Computer Science at NTU\n\nDiscover the inspiring story behind Hannah's decision to pursue Computer Science at NTU. Look through other videos for an insightful tour of our facilities and get a glimpse into the enriching academic journey that awaits you.""]","The Clifton Campus offers state-of-the-art facilities for computer science students, including a robot arena, games consoles, networking and security labs, as well as human-interactive technology labs. It is a self-contained campus with modern amenities to support the learning experience.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
 What are the computer science facilities available at NTU's Clifton Campus?,['Department of Computer Science\n        Welcome to the Computer Science Department at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nComputer Science facilities\n        Explore our our Computer Science facilities at our Clifton Campus. You can take a look at the outstanding lab facilities in our ISTeC building.\n\nTake a virtual tour\n        The NTU virtual tour is a great way to get to know our University from the comfort of your own home.\n\nSupporting your success\n        What makes life and learning at NTU so special? Discover just a few of the benefits and free services designed to enhance your student experience.\n\nSearch for a specific course\n\nOrder a prospectus\n\nBook an open day\n\nLearn about life in Nottingham\n\nChat to students or staff\n\nAlso in'],The Computer Science facilities at NTU's Clifton Campus include outstanding lab facilities located in the ISTeC building. Students can explore these facilities to enhance their learning experience.,simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
 What types of facilities are typically available to support computer science education and research?,['Also in\n\nComputer Science\n\nComputer Science facilities'],"Typically, facilities supporting computer science education and research include laboratories equipped with the latest computing hardware and software, lecture halls for teaching, libraries with extensive resources on computer science topics, collaborative workspaces for group projects, as well as access to specialized equipment like servers, supercomputers, and simulation tools. These facilities are designed to foster learning, innovation, and research in various areas of computer science.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
 What features and resources are available at the Clifton Campus for students studying Computer Science?,"[""- BSc (Hons)\n\nAbout Computer Science\n\nFrom artificial intelligence to game technology, our courses span the whole spectrum of computer science.\n\nYou’ll study in state-of-the-art facilities at our Clifton Campus, which includes a robot arena, games consoles, networking and security, and human-interactive technology labs. It’s a self-contained campus with all the mod cons and equipment you might need.\n\nYou can count on the support of industry veterans from across the sector – from Fujitsu Systems to the US Department of Homeland Security. You can apply your learning to work placements, live industry briefs and research projects, as you gain real-world experience and enhance your career prospects in computing.\n\nLearn more about Computer Science at NTU\n\nDiscover the inspiring story behind Hannah's decision to pursue Computer Science at NTU. Look through other videos for an insightful tour of our facilities and get a glimpse into the enriching academic journey that awaits you.""]","The Clifton Campus offers state-of-the-art facilities for computer science students, including a robot arena, games consoles, networking and security labs, as well as human-interactive technology labs. It is a self-contained campus with modern amenities to support the learning experience.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
 What are the roles and responsibilities held by Joanna Hartley within the Computer Science department?,['Meet the team\n\nAhmad Lotfi\n        \t                \n                                                                                                Professor and Head of Department\n                                                                                        \n                                                                                                                                                                                        \n                                                                                                Computer Science\n\nJoanna Hartley\n            \n            \n                \n                Deputy Head of Department\n                \n            \n            \n              \n                \n                    \n                \n            \n            \n                        \n                \n                Computer Science'],Joanna Hartley holds the role of Deputy Head of Department in the Computer Science department.,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",TRUE
 What is the benefit of a hands-on teaching approach in computer science courses?,"[""Careers in Computer Science\n\nThe industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.\n\nOur recent graduates have secured roles at companies including:\n\nNext Retail Ltd\n\nBoots UK\n\nCisco Systems\n\nSchlumberger\n\nExperian\n\nBT\n\nRockstar Games\n\nWorldwide Clinical Trials UK Ltd\n\nAmerican Express\n\nUK Government\n\nThey have gone into a wide variety of job roles including:\n\nBusiness Analyst\n\nProgrammer\n\nProject Software Implementation Officer\n\nWeb Developer\n\nGames Tester\n\nGraduate Game Development and Programmer\n\nSoftware Engineer\n\nCyber Security Analyst\n\nProduct Consultant\n\nExplore Computer Science\n\nFind out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.""]","A hands-on teaching approach in computer science courses provides numerous benefits, including equipping students with practical skills and experience that make them stand out to employers. This method allows graduates to be perceived as having a competitive edge due to their ability to apply theoretical knowledge effectively in real-world scenarios.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
 What opportunities does a BSc (Hons) in Computer Science at NTU offer for students to gain real-world experience and enhance their career prospects?,"[""- BSc (Hons)\n\nAbout Computer Science\n\nFrom artificial intelligence to game technology, our courses span the whole spectrum of computer science.\n\nYou’ll study in state-of-the-art facilities at our Clifton Campus, which includes a robot arena, games consoles, networking and security, and human-interactive technology labs. It’s a self-contained campus with all the mod cons and equipment you might need.\n\nYou can count on the support of industry veterans from across the sector – from Fujitsu Systems to the US Department of Homeland Security. You can apply your learning to work placements, live industry briefs and research projects, as you gain real-world experience and enhance your career prospects in computing.\n\nLearn more about Computer Science at NTU\n\nDiscover the inspiring story behind Hannah's decision to pursue Computer Science at NTU. Look through other videos for an insightful tour of our facilities and get a glimpse into the enriching academic journey that awaits you.""]","A BSc (Hons) in Computer Science at NTU offers various opportunities for students to gain real-world experience and enhance their career prospects. These include work placements, live industry briefings, and research projects. Students can also benefit from the support of industry veterans across sectors such as Fujitsu Systems and the US Department of Homeland Security.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
 What are the roles and responsibilities held by Joanna Hartley within the Computer Science department?,['Meet the team\n\nAhmad Lotfi\n        \t                \n                                                                                                Professor and Head of Department\n                                                                                        \n                                                                                                                                                                                        \n                                                                                                Computer Science\n\nJoanna Hartley\n            \n            \n                \n                Deputy Head of Department\n                \n            \n            \n              \n                \n                    \n                \n            \n            \n                        \n                \n                Computer Science'],Joanna Hartley holds the role of Deputy Head of Department in the Computer Science department.,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",TRUE
 What is the role of the Interdisciplinary Science and Technology Centre (ISTeC) at NTU in supporting research and majors across various fields?,"['Computer Science Facilities\n        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).\n\nInterdisciplinary Science and Technology Centre (ISTeC)\n        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.\n\nLatest news\n\nAccelerate your research with NTU’s new supercomputing Hydra AI service\n        \n            Wed 15 May 2024\n\nStudy will develop AI to spot lung cancer risk from patient data\n        \n            Mon 11 Mar 2024\n\nCARPHA and NTU Forge Strategic Partnership to Tackle NCDs\n        \n            Thu 25 May 2023\n\nNotts Healthcare launches interactive walks App to boost physical and mental health\n        \n            Thu 30 Jun 2022\n\nNTU researcher among the ‘Top 50 Women in Engineering’\n        \n            Thu 23 Jun 2022']","The Interdisciplinary Science and Technology Centre (ISTeC) at NTU plays a significant role in supporting research and majors across various fields, including Computer Science, Bioscience, Chemistry, and Sport Science. It is a cutting-edge facility with an investment of 13 million, providing resources for interdisciplinary studies and advancements.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",TRUE
